Boost,Coolant_Temp,EXH_DIFF,EXH_L,EXH_R,Fuel_Press,Fuel_Rate,Load,Oil_Press,RPM
18.0,85.0,17.0,324.0,307.0,520.5,106.300001583993,26.0,499.0,1800.0
16.0,86.0,6.0,301.0,295.0,520.5,98.35000146552919,24.0,500.5,1799.0
15.0,86.0,34.0,300.0,266.0,519.0,95.600001424551,25.0,499.5,1800.0
19.5,86.0,17.0,342.0,359.0,517.0,114.950001712888,27.0,497.5,1796.5
11.5,85.0,18.0,285.0,267.0,520.5,84.6500012613833,23.0,501.5,1801.0
13.5,85.0,31.0,306.0,275.0,519.0,101.05000150576201,25.0,501.0,1803.5
18.0,85.0,38.0,332.0,294.0,518.0,107.600001603365,26.0,499.5,1797.5
12.5,85.0,31.0,319.0,288.0,521.0,94.5500014089048,24.0,500.0,1796.5
14.0,85.0,44.0,322.0,278.0,522.5,94.5500014089048,24.0,499.0,1807.0
12.5,85.0,3.0,319.0,316.0,520.0,100.80000150203699,25.0,498.5,1798.0
14.0,86.0,46.0,319.0,273.0,520.0,100.80000150203699,25.0,497.0,1798.0
18.0,85.0,6.0,313.0,307.0,521.5,91.2000013589859,24.0,499.0,1801.5
11.0,85.0,20.0,318.0,298.0,520.0,96.2000014334917,24.0,499.0,1795.5
14.0,85.0,22.0,303.0,325.0,520.5,99.40000148117541,25.0,500.0,1797.5
20.0,86.0,37.0,335.0,298.0,520.5,100.600001499057,26.0,498.0,1799.0
12.0,85.0,39.0,314.0,275.0,520.5,95.9500014297664,25.0,499.0,1801.0
14.0,85.0,13.0,312.0,299.0,520.0,95.3500014208257,24.0,499.5,1800.0
16.0,85.0,3.0,326.0,329.0,520.0,104.400001555681,26.0,499.0,1802.5
14.0,85.0,16.0,323.0,307.0,518.5,107.100001595914,26.0,498.5,1800.0
14.5,85.0,5.0,328.0,333.0,520.5,98.35000146552919,25.0,498.0,1804.5
18.5,85.0,7.0,334.0,327.0,517.5,113.400001689792,28.0,498.0,1798.0
17.0,85.0,23.0,329.0,306.0,522.0,98.10000146180391,25.0,498.5,1804.5
16.0,85.0,36.0,319.0,283.0,519.0,107.600001603365,27.0,498.5,1802.5
112.5,92.0,15.0,540.0,555.0,493.0,233.100003473461,48.0,481.5,1805.0
117.5,91.0,43.0,534.0,577.0,493.0,239.30000356584802,51.0,483.5,1804.5
114.0,93.0,26.0,541.0,567.0,496.0,224.20000334084,49.0,482.0,1796.5
109.5,92.0,15.0,540.0,525.0,498.0,226.000003367662,49.0,481.0,1801.0
130.5,92.0,19.0,543.0,562.0,492.0,252.800003767014,52.0,481.0,1802.5
108.5,93.0,41.0,540.0,581.0,492.5,234.300003491342,50.0,481.0,1799.0
111.0,92.0,11.0,535.0,546.0,494.0,247.85000369325297,53.0,481.5,1795.0
110.0,92.0,17.0,538.0,555.0,498.5,229.90000342577702,48.0,484.0,1793.0
97.5,89.0,21.0,530.0,551.0,500.0,210.90000314265492,46.0,486.5,1807.0
129.5,91.0,0.0,536.0,536.0,493.0,259.350003864616,53.0,481.5,1798.0
14.5,84.0,10.0,285.0,275.0,522.0,80.65000120177871,22.0,501.0,1800.0
17.5,85.0,8.0,317.0,309.0,501.0,107.95000160858,27.0,502.5,1801.0
12.5,85.0,7.0,269.0,276.0,506.0,76.50000113993879,21.0,502.5,1801.5
20.5,85.0,17.0,330.0,313.0,502.5,105.70000157505301,26.0,500.0,1801.5
14.0,82.0,32.0,289.0,257.0,504.0,95.3500014208257,24.0,525.0,1804.5
17.0,85.0,51.0,307.0,256.0,502.5,100.80000150203699,26.0,499.5,1801.5
146.0,92.0,20.0,550.0,570.0,472.0,256.250003818423,53.0,478.5,1801.5
137.5,91.0,10.0,540.0,530.0,471.0,246.90000367909698,52.0,480.5,1809.5
147.0,93.0,34.0,553.0,587.0,470.0,273.25000407174196,57.0,475.0,1801.5
162.5,93.0,32.0,558.0,590.0,467.0,277.050004128367,59.0,476.0,1806.0
145.0,93.0,42.0,556.0,598.0,469.0,273.25000407174196,56.0,476.5,1800.0
151.0,94.0,43.0,556.0,599.0,468.5,280.950004186481,59.0,476.5,1793.0
160.0,94.0,17.0,560.0,543.0,465.5,271.45000404492,57.0,476.5,1810.5
147.5,93.0,12.0,556.0,544.0,467.0,278.000004142523,57.0,478.0,1806.0
42.0,90.0,3.0,451.0,454.0,485.5,166.350002478808,36.0,487.5,1805.0
21.0,86.0,20.0,356.0,336.0,491.0,111.150001656264,27.0,498.0,1803.5
15.0,85.0,11.0,317.0,328.0,496.0,97.2500014491379,25.0,499.5,1801.5
18.0,86.0,12.0,318.0,306.0,494.0,108.20000161230601,26.0,498.0,1796.5
18.5,86.0,23.0,319.0,296.0,495.5,99.15000147745009,25.0,499.5,1797.5
14.5,86.0,43.0,317.0,360.0,495.0,105.200001567602,26.0,498.5,1802.5
19.0,85.0,5.0,313.0,318.0,496.0,96.45000143721701,25.0,499.0,1801.5
20.5,86.0,6.0,338.0,332.0,497.0,105.70000157505301,26.0,497.5,1806.0
19.5,85.0,49.0,332.0,381.0,496.5,105.450001571327,25.0,497.5,1799.0
14.0,85.0,2.0,324.0,326.0,495.0,101.650001514703,25.0,498.5,1796.5
13.0,85.0,20.0,308.0,328.0,496.0,98.35000146552919,24.0,499.0,1799.0
15.5,85.0,13.0,315.0,302.0,496.5,97.2500014491379,25.0,498.5,1800.0
11.5,85.0,36.0,307.0,271.0,497.0,95.600001424551,24.0,498.5,1799.0
14.0,85.0,32.0,307.0,275.0,496.5,90.50000134855507,23.0,498.5,1800.0
13.0,85.0,17.0,300.0,317.0,494.5,89.65000133588909,24.0,498.5,1799.0
13.0,86.0,17.0,326.0,309.0,493.0,95.600001424551,24.0,498.5,1797.5
18.0,85.0,30.0,317.0,287.0,494.5,114.500001706183,27.0,496.5,1799.0
18.0,85.0,29.0,312.0,341.0,495.0,103.30000153929001,26.0,499.0,1801.0
34.5,86.0,39.0,406.0,367.0,491.0,137.40000204741995,31.0,495.0,1809.5
15.5,85.0,6.0,342.0,336.0,493.5,113.400001689792,27.0,497.5,1800.0
17.5,85.0,11.0,319.0,308.0,493.5,108.20000161230601,26.0,497.5,1797.5
18.0,85.0,36.0,311.0,275.0,497.0,104.050001550466,26.0,499.0,1795.0
17.5,85.0,16.0,303.0,287.0,498.5,103.550001543015,25.0,498.5,1801.0
15.5,85.0,47.0,309.0,356.0,499.5,98.9000014737248,25.0,499.5,1798.0
17.5,85.0,27.0,306.0,333.0,499.0,93.7000013962388,25.0,498.5,1800.0
11.5,85.0,57.0,267.0,210.0,502.0,68.90000102669,21.0,500.5,1802.5
17.5,86.0,43.0,329.0,286.0,498.0,110.700001649559,27.0,496.5,1795.0
17.0,85.0,20.0,317.0,297.0,499.0,110.100001640618,26.0,497.5,1802.5
17.0,85.0,37.0,305.0,342.0,499.0,88.8500013239682,24.0,499.0,1802.5
17.5,85.0,18.0,313.0,295.0,498.5,98.35000146552919,25.0,499.0,1801.0
18.0,85.0,21.0,311.0,332.0,497.5,99.40000148117541,25.0,497.0,1796.5
12.0,85.0,1.0,303.0,302.0,498.0,94.3000014051795,24.0,499.5,1804.5
13.5,85.0,19.0,307.0,288.0,498.0,92.6500013805926,23.0,498.5,1799.0
10.5,85.0,33.0,300.0,267.0,497.5,89.05000132694842,23.0,498.5,1802.5
10.0,85.0,15.0,297.0,282.0,497.5,93.20000138878821,23.0,500.0,1801.0
15.0,85.0,28.0,295.0,267.0,494.5,87.4000013023615,23.0,498.0,1801.5
13.5,85.0,19.0,311.0,292.0,496.5,90.15000134333971,24.0,500.0,1799.0
16.5,86.0,35.0,344.0,379.0,496.5,112.60000167787099,27.0,498.0,1804.5
14.0,85.0,5.0,298.0,293.0,496.0,91.2000013589859,24.0,497.5,1798.0
19.5,86.0,42.0,358.0,400.0,493.5,122.100001819432,28.0,499.0,1802.5
25.5,86.0,24.0,358.0,382.0,495.5,117.20000174641599,28.0,496.0,1797.5
22.0,86.0,41.0,360.0,319.0,496.5,116.850001741201,28.0,495.0,1800.0
20.0,86.0,53.0,358.0,305.0,493.5,118.75000176951299,27.0,496.5,1798.0
23.0,86.0,8.0,358.0,350.0,495.0,115.300001718104,27.0,494.0,1801.0
22.5,85.0,38.0,366.0,328.0,496.5,116.40000173449499,28.0,494.5,1806.0
28.5,86.0,18.0,373.0,355.0,494.0,127.30000189691799,29.0,495.0,1801.0
21.5,86.0,36.0,380.0,344.0,493.5,123.400001838803,29.0,496.0,1802.5
22.5,86.0,13.0,373.0,360.0,495.0,117.20000174641599,28.0,496.0,1803.5
18.0,86.0,19.0,348.0,329.0,494.5,111.750001665205,27.0,496.0,1803.5
77.0,88.0,22.0,505.0,527.0,478.0,191.650002855808,41.0,488.0,1802.5
34.5,86.0,25.0,413.0,388.0,486.5,168.650002513081,36.0,493.0,1797.5
24.5,86.0,2.0,355.0,353.0,497.0,112.00000166893,27.0,496.5,1801.0
142.0,93.0,52.0,552.0,604.0,470.5,254.700003795326,54.0,475.5,1798.0
23.0,86.0,33.0,381.0,348.0,492.0,124.80000185966499,29.0,496.5,1797.5
15.0,85.0,22.0,334.0,312.0,494.5,111.150001656264,27.0,496.5,1801.5
16.5,85.0,9.0,326.0,317.0,495.0,108.65000161901101,26.0,498.5,1801.0
17.5,85.0,75.0,324.0,249.0,496.5,100.250001493841,26.0,497.5,1807.5
14.5,85.0,22.0,296.0,318.0,496.5,92.4000013768673,24.0,497.0,1798.0
143.5,93.0,8.0,556.0,548.0,461.5,273.25000407174196,56.0,477.5,1795.5
135.0,93.0,13.0,562.0,575.0,469.5,263.500003926456,55.0,474.0,1796.5
140.5,93.0,5.0,563.0,568.0,464.0,254.500003792346,53.0,473.5,1810.5
143.0,93.0,22.0,560.0,582.0,462.0,269.450004015118,56.0,476.0,1798.0
146.5,94.0,35.0,561.0,596.0,461.5,280.350004177541,58.0,475.0,1799.0
143.0,92.0,30.0,558.0,588.0,464.5,259.350003864616,53.0,478.0,1803.5
145.0,93.0,7.0,558.0,565.0,465.5,257.00000382959803,53.0,477.5,1804.5
139.0,93.0,8.0,556.0,548.0,468.0,258.750003855675,53.0,477.5,1800.0
145.0,92.0,6.0,556.0,562.0,468.0,257.800003841519,54.0,477.0,1804.5
20.5,85.0,7.0,360.0,353.0,493.0,121.50000181049101,28.0,494.5,1803.5
15.5,85.0,69.0,319.0,388.0,492.5,107.600001603365,26.0,497.5,1799.0
8.0,85.0,39.0,269.0,230.0,496.5,68.6500010229647,20.0,499.5,1802.5
9.0,85.0,6.0,280.0,286.0,499.0,88.2500013150275,22.0,502.5,1802.5
14.0,85.0,26.0,297.0,271.0,495.5,92.6500013805926,24.0,499.0,1801.0
145.0,93.0,27.0,548.0,575.0,469.0,258.30000384897005,54.0,476.5,1806.0
141.5,93.0,68.0,551.0,619.0,466.5,273.600004076958,57.0,476.0,1798.0
141.5,93.0,22.0,549.0,571.0,467.5,285.60000425577203,58.0,474.5,1792.0
154.5,93.0,45.0,557.0,602.0,462.5,279.65000416711,58.0,475.0,1802.5
155.0,93.0,36.0,563.0,599.0,461.5,288.200004294515,60.0,472.5,1793.0
158.5,94.0,19.0,566.0,585.0,459.0,294.400004386902,62.0,473.0,1796.5
156.0,93.0,13.0,562.0,575.0,465.0,286.050004262477,59.0,473.0,1802.5
162.0,92.0,30.0,557.0,527.0,465.0,279.20000416040403,58.0,476.5,1801.0
128.5,93.0,51.0,547.0,598.0,471.5,244.15000363811905,51.0,475.5,1809.5
12.0,85.0,19.0,309.0,328.0,496.0,101.900001518428,25.0,498.0,1799.0
19.0,85.0,33.0,321.0,354.0,493.0,109.500001631677,26.0,498.5,1802.5
18.0,85.0,15.0,335.0,350.0,493.5,116.600001737475,28.0,496.0,1806.0
18.5,85.0,13.0,335.0,348.0,492.5,118.75000176951299,27.0,495.5,1799.0
13.5,85.0,5.0,322.0,317.0,492.0,102.50000152736901,26.0,497.5,1799.0
19.0,85.0,26.0,316.0,342.0,494.0,102.15000152215401,25.0,497.0,1802.5
16.5,85.0,20.0,313.0,333.0,494.5,97.8500014580786,25.0,498.0,1797.5
12.5,85.0,29.0,299.0,328.0,497.0,87.15000129863621,23.0,497.5,1801.5
21.5,86.0,15.0,340.0,355.0,493.5,113.90000169724199,28.0,496.0,1803.5
14.0,85.0,44.0,326.0,282.0,492.0,110.100001640618,26.0,495.5,1801.0
14.0,85.0,26.0,313.0,339.0,496.5,98.35000146552919,24.0,496.5,1801.0
23.5,85.0,37.0,363.0,400.0,493.0,116.850001741201,28.0,495.0,1799.0
23.5,85.0,2.0,369.0,367.0,492.5,124.80000185966499,28.0,495.5,1800.0
29.0,85.0,8.0,367.0,375.0,492.0,125.05000186339,29.0,495.5,1798.0
25.5,86.0,20.0,360.0,340.0,494.5,120.40000179409999,28.0,494.0,1800.0
15.0,85.0,19.0,326.0,307.0,493.0,114.500001706183,28.0,496.5,1796.5
10.5,85.0,43.0,296.0,253.0,497.0,88.2500013150275,23.0,498.0,1801.0
17.0,85.0,30.0,309.0,339.0,496.5,97.0000014454126,24.0,498.0,1798.0
18.5,85.0,63.0,307.0,244.0,498.0,98.35000146552919,25.0,497.0,1803.5
12.5,85.0,1.0,314.0,315.0,496.5,97.5000014528632,24.0,497.0,1800.0
13.5,85.0,1.0,315.0,314.0,495.5,101.650001514703,25.0,497.5,1801.0
13.0,86.0,51.0,315.0,264.0,496.5,97.8500014580786,25.0,496.0,1803.5
11.0,85.0,39.0,313.0,352.0,494.0,98.55000146850941,24.0,496.5,1798.0
11.0,85.0,35.0,306.0,271.0,495.5,98.10000146180391,25.0,496.5,1799.0
14.5,85.0,53.0,314.0,261.0,495.5,104.050001550466,25.0,495.5,1801.5
18.0,85.0,3.0,318.0,321.0,496.5,103.30000153929001,26.0,496.0,1804.5
17.5,85.0,27.0,322.0,295.0,494.0,109.85000163689301,27.0,496.0,1806.0
17.0,86.0,9.0,321.0,330.0,494.0,108.20000161230601,26.0,496.0,1799.0
12.0,85.0,14.0,319.0,305.0,494.0,105.200001567602,25.0,496.0,1798.0
13.5,85.0,16.0,322.0,306.0,495.0,107.95000160858,25.0,497.0,1799.0
31.5,86.0,7.0,409.0,402.0,491.5,147.750002201647,32.0,492.5,1802.5
19.0,85.0,18.0,328.0,310.0,495.5,102.950001534075,26.0,495.0,1799.0
20.0,86.0,38.0,325.0,287.0,495.5,103.30000153929001,26.0,496.0,1801.5
17.5,85.0,14.0,328.0,314.0,496.5,107.95000160858,26.0,496.5,1800.0
18.5,85.0,3.0,314.0,311.0,496.0,96.6500014401972,25.0,497.0,1801.0
14.5,85.0,43.0,310.0,353.0,498.5,93.7000013962388,24.0,497.0,1801.5
11.5,85.0,45.0,295.0,250.0,497.5,98.35000146552919,25.0,496.5,1801.0
12.5,85.0,44.0,313.0,269.0,497.5,99.15000147745009,24.0,496.5,1799.0
15.5,85.0,35.0,309.0,274.0,496.0,99.7500014863908,25.0,496.0,1802.5
17.5,85.0,3.0,314.0,311.0,496.5,94.3000014051795,24.0,496.0,1797.5
15.5,85.0,28.0,301.0,273.0,494.0,100.250001493841,25.0,497.0,1801.5
14.0,86.0,22.0,311.0,333.0,495.0,97.2500014491379,24.0,496.0,1795.0
21.0,86.0,35.0,329.0,294.0,495.5,110.100001640618,27.0,495.0,1799.0
15.5,85.0,24.0,329.0,305.0,496.5,102.15000152215401,26.0,495.5,1801.5
21.0,86.0,8.0,335.0,327.0,494.5,116.000001728535,28.0,495.5,1798.0
18.0,85.0,66.0,337.0,403.0,494.0,105.200001567602,25.0,495.0,1802.5
15.0,86.0,7.0,328.0,321.0,495.5,101.650001514703,25.0,495.0,1803.5
19.0,85.0,5.0,315.0,320.0,495.0,106.500001586974,25.0,496.5,1804.5
15.0,85.0,23.0,311.0,288.0,499.0,98.55000146850941,25.0,496.5,1803.5
13.5,86.0,12.0,327.0,339.0,497.5,102.50000152736901,25.0,496.5,1801.5
19.5,86.0,38.0,353.0,315.0,494.0,117.700001753867,27.0,495.5,1803.5
14.5,85.0,15.0,302.0,287.0,499.5,83.3500012420118,23.0,496.5,1806.0
19.0,85.0,63.0,326.0,389.0,497.5,95.9500014297664,25.0,496.0,1801.5
15.0,85.0,39.0,314.0,275.0,496.5,105.950001578778,26.0,495.5,1800.0
18.0,86.0,23.0,320.0,297.0,496.5,100.250001493841,24.0,496.0,1797.5
19.0,86.0,8.0,339.0,331.0,494.0,110.30000164359801,27.0,496.0,1800.0
19.0,85.0,2.0,336.0,334.0,493.5,110.700001649559,26.0,495.5,1801.5
15.5,86.0,7.0,319.0,312.0,493.5,107.600001603365,26.0,496.0,1802.5
14.5,86.0,13.0,333.0,346.0,496.0,100.000001490116,25.0,496.5,1801.5
12.0,86.0,27.0,312.0,339.0,497.0,107.95000160858,25.0,495.5,1800.0
15.0,84.0,41.0,299.0,340.0,497.0,95.600001424551,24.0,497.0,1798.0
12.5,86.0,17.0,311.0,294.0,496.5,97.2500014491379,25.0,496.0,1801.0
16.0,85.0,9.0,315.0,306.0,497.5,104.400001555681,25.0,495.5,1802.5
13.5,85.0,10.0,319.0,329.0,495.0,103.80000154674102,25.0,496.5,1795.5
11.0,85.0,12.0,304.0,316.0,498.0,96.6500014401972,24.0,496.5,1801.0
13.5,85.0,46.0,330.0,284.0,497.5,98.55000146850941,24.0,495.0,1800.0
14.5,85.0,14.0,314.0,328.0,498.0,97.8500014580786,25.0,496.0,1801.0
35.5,86.0,1.0,413.0,412.0,489.5,140.850002098829,31.0,491.5,1803.5
38.5,87.0,4.0,432.0,428.0,487.0,164.250002447516,36.0,491.0,1796.5
15.5,85.0,29.0,321.0,350.0,498.5,89.05000132694842,23.0,497.0,1801.5
37.5,86.0,2.0,416.0,418.0,486.0,167.200002491474,36.0,491.5,1802.5
29.0,86.0,12.0,371.0,359.0,493.5,123.400001838803,29.0,495.0,1800.0
27.0,86.0,24.0,377.0,353.0,492.5,121.85000181570601,29.0,493.5,1801.5
26.5,86.0,28.0,380.0,352.0,493.0,131.600001960993,30.0,493.5,1801.5
25.0,85.0,9.0,346.0,337.0,494.5,114.950001712888,28.0,495.5,1800.0
22.5,85.0,8.0,340.0,348.0,495.5,112.800001680851,27.0,495.5,1799.0
18.0,85.0,45.0,336.0,381.0,498.0,107.95000160858,27.0,495.5,1803.5
