"Severity","Type","Code","Source","Description","Sample Time","Run Hours"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/16/2020 4:29:47 PM","21068.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/16/2020 3:26:43 PM","21067.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/16/2020 1:56:29 PM","21065.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/16/2020 9:45:51 AM","21061.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/16/2020 8:13:07 AM","21059.0"
"Low","Diagnostics","828:8","Engine","Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/16/2020 12:06:12 AM","21119.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/16/2020 12:06:12 AM","21119.0"
"Low","Diagnostics","828:8","Engine","Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/16/2020 12:04:30 AM","21051.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/16/2020 12:00:44 AM","21051.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/15/2020 11:58:27 PM","21051.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/15/2020 2:13:32 PM","21050.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/14/2020 7:26:53 AM","21043.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/13/2020 11:56:53 PM","21041.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/12/2020 1:15:25 PM","21022.0"
"Low","Diagnostics","827:8","Engine","Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period","10/12/2020 1:12:09 PM","21022.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/11/2020 8:20:08 PM","21005.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/11/2020 7:03:22 PM","21004.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/11/2020 6:01:48 PM","21003.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/10/2020 11:07:58 AM","20972.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/10/2020 9:23:50 AM","20970.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/10/2020 6:53:50 AM","20968.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/9/2020 2:53:07 PM","20952.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/9/2020 1:31:10 PM","20951.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/9/2020 12:09:02 PM","20949.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/9/2020 10:39:48 AM","20948.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/9/2020 9:19:10 AM","20946.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/9/2020 7:59:45 AM","20945.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/9/2020 4:15:10 AM","20941.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/8/2020 11:04:35 PM","20936.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/8/2020 8:53:53 PM","20934.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/8/2020 5:03:45 PM","20930.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/8/2020 3:42:38 PM","20929.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/8/2020 1:24:08 PM","20926.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/8/2020 11:48:31 AM","20925.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/8/2020 10:12:28 AM","20923.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/8/2020 2:05:49 AM","20915.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/8/2020 12:35:18 AM","20914.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/7/2020 7:27:30 PM","20908.0"
"Low","Events","272:1","Engine","Inlet Air Restriction Warning","10/7/2020 7:10:47 PM","20908.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/7/2020 5:19:41 PM","20906.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/7/2020 3:37:21 PM","20905.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/7/2020 12:55:01 PM","20902.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/7/2020 10:06:10 AM","20899.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/7/2020 8:36:48 AM","20898.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/7/2020 7:05:27 AM","20896.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/7/2020 4:40:04 AM","20894.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/7/2020 2:14:19 AM","20891.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/7/2020 12:52:44 AM","20890.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/6/2020 11:34:27 PM","20889.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/6/2020 10:21:35 PM","20887.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/6/2020 8:41:21 PM","20886.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/6/2020 7:38:10 PM","20885.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/6/2020 5:47:43 PM","20883.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/6/2020 3:31:39 PM","20881.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/6/2020 10:03:02 AM","20879.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/5/2020 6:32:56 PM","20868.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/5/2020 5:30:13 PM","20867.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/5/2020 1:44:17 PM","20863.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/5/2020 12:41:13 PM","20862.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/5/2020 11:08:11 AM","20860.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/5/2020 8:40:27 AM","20858.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/5/2020 7:26:15 AM","20856.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/5/2020 6:24:50 AM","20855.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/4/2020 11:25:08 PM","20848.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/4/2020 7:43:08 PM","20845.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/4/2020 6:14:48 PM","20843.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/4/2020 2:20:29 PM","20839.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/4/2020 12:22:11 PM","20837.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/4/2020 10:57:13 AM","20836.0"
"Low","Events","272:1","Engine","Inlet Air Restriction Warning","10/3/2020 11:55:45 PM","20825.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/3/2020 5:23:59 AM","20807.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/3/2020 1:56:17 AM","20804.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 10:26:38 PM","20800.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 9:07:15 PM","20799.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 7:16:37 PM","20797.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 5:03:41 PM","20795.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 3:19:58 PM","20793.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 1:55:28 PM","20792.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 12:30:41 PM","20790.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 11:23:46 AM","20789.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 10:21:36 AM","20788.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 9:10:13 AM","20787.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 8:09:27 AM","20786.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/2/2020 6:50:44 AM","20785.0"
"Low","Events","272:1","Engine","Inlet Air Restriction Warning","10/1/2020 8:39:09 PM","20774.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","10/1/2020 5:23:54 AM","20772.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/30/2020 10:27:23 PM","20769.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/30/2020 8:19:28 PM","20767.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/30/2020 4:56:55 PM","20763.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/30/2020 1:41:11 PM","20760.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/30/2020 12:14:37 PM","20759.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/30/2020 10:31:19 AM","20757.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/30/2020 9:23:01 AM","20756.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/29/2020 6:46:24 PM","20741.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/29/2020 4:30:37 PM","20739.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/29/2020 3:22:35 PM","20738.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/29/2020 9:32:08 AM","20732.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/29/2020 2:01:31 AM","20724.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/28/2020 11:54:02 PM","20722.0"
