Sample Time,Battery Voltage (Volts),Boost Pressure (kPa),CID,Coolant Level,Diagnostic Status,Diagnostic SubCode - FMI,Diangostic WCI,Engine Acceleration Rate (RPM/s),Engine Coolant Temperature (Deg C),Engine Load Factor (%),Engine Oil Pressure (kPa),Engine Oil Temperature (Deg C),Engine Run Hours (Hours),Engine Speed (RPM),Event Code,Event Status,Fuel Consumption Rate (L/h),Fuel Filter Differential Pressure (kPa),Fuel Position,Fuel Pressure (kPa),Inlet Air Temperature (Deg C),Oil Filter Differential Pressure (kPa),Run Status (On/Off),Throttle Position (%),Total Fuel (L),,,,,,,,,,,,,,,,,,,,,,,,,,,Consumed,Ran,FFM Cons,FFM SFC,FFM Idle Cons
9/1/2020,26.50,23.50,,OK,,,,500.00,71,0.115,442.5,77,,1797.75,,,24.25,330.5,2.7,560,33.7,79.50,,0,50316.616,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002650463,367292.9471,0.002650463
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000821759,383262.2129,0.000821759
9/1/2020,,,,,,,,,71,0.11,,,,1799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.2541,0.003472222
9/1/2020,,,,,,,,,71.00,0.1,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.2857,0.003472222
9/1/2020,,,,,,,,,71.00,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440751.649,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.3488,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.3804,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.4119,0.003472222
9/1/2020,,,,,,,,,71,0.12,,,,1797.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.4435,0.003472222
9/1/2020,,,,,,,,,71,0.12,,,,1797.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,367293.1856,0.003483796
9/1/2020,,,,,,,,,71,0.11,,,,1799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,367293.2145,0.003472222
9/1/2020,,,,,,,,,71,0.1,,,,1799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.5383,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440751.9269,0.003472222
9/1/2020,26.50,25.00,,OK,,,,500.00,71,0.11,442.5,77,,1797.75,,,25.55,328,2.75,561,33.6,79.50,,0,50341.694,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002650463,400683.594,0.002650463
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000821759,400683.6014,0.000821759
9/1/2020,,,,,,,,,71,0.11,,,,1799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.633,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.6646,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.6961,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,400683.7278,0.003483796
9/1/2020,,,,,,,,,71,0.1,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003460648,400683.7593,0.003460648
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440752.1699,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.8224,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.854,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.8855,0.003472222
9/1/2020,,,,,,,,,71,0.1,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400683.9171,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440752.3435,0.003472222
9/1/2020,26.50,25.00,,OK,,,,500.00,71,0.105,442.5,77,,1797.75,,,24.8,332.5,2.7,558,33.6,79.00,,0,50365.826,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002662037,400683.9729,0.002662037
9/1/2020,,,,,,,,,71,0.1,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000821759,419764.1699,0.000821759
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440752.4131,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400684.0435,0.003472222
9/1/2020,,,,,,,,,71,0.12,,,,1798.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400684.075,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,367293.7644,0.003472222
9/1/2020,,,,,,,,,71,0.1,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400684.1382,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440752.5867,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400684.2013,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,400684.233,0.003483796
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400684.2645,0.003472222
9/1/2020,,,,,,,,,71,0.09,,,,1799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400684.2961,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,489725.2894,0.003472222
9/1/2020,26.50,23.50,,OK,,,,500.00,71,0.11,442.5,77,,1797.50,,,24.95,325.5,2.7,566.5,33.6,79.50,,0,50390.432,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002638889,400684.3516,0.002638889
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000833333,400684.3592,0.000833333
9/1/2020,,,,,,,,,71,0.1,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400684.3908,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440752.8646,0.003472222
9/1/2020,,,,,,,,,71,0.09,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400684.4539,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1797.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,489725.4823,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,400684.5172,0.003483796
9/1/2020,,,,,,,,,71,0.1,,,,1799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400684.5487,0.003472222
9/1/2020,,,,,,,,,71,0.1,,,,1799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003460648,440753.0382,0.003460648
9/1/2020,,,,,,,,,71,0.02,,,,1802.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,440753.0729,0.003472222
9/1/2020,,,,,,,,,71,0.11,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,2203765.538,0.003472222
9/1/2020,,,,,,,,,71,0.1,,,,1798.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,400684.6749,0.003472222
9/1/2020,,,,,,,,,0,0,,,1295.00,0.00,,,,,,,,,Stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002291667,440753.1653,0.002291667
9/1/2020,,,,,,,,,71,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.001180556,,0.001180556
9/1/2020,25.50,0.00,,OK,,,,500.00,71,0,2,72,,0.00,,,0,7.5,0,0,38.6,2.00,,0,50411.251,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002650463,,0.002650463
9/1/2020,,,,,,,,,71,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000821759,,0.000821759
9/1/2020,,,,,,,,,71,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,70,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,,0.003483796
9/1/2020,,,,,,,,,70,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,69,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,69,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,68,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
